Razão Social,CNPJ,Data Emissão,Data Vencimento,Nº Nota Fiscal,Produto,Status,Valor original,Imposto retido,Juros,Multa,Valor atualizado,Link  NFS-e,Link  Boleto,Status Boleto,Qtde Transação
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2026-02-26 00:00:00,2026-03-13 00:00:00,107856,Velocity Check,,"R$ 4102,85","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4102,85",https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=551R.6153.2624.9472799-Q&numdoc=26669170000157,https://www.pagador.com.br/post/pagador/reenvia.asp/43244196-bbeb-462b-b6bb-edb67e3afeac,Pendente,             29.753
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2026-02-26 00:00:00,2026-03-13 00:00:00,107918,Pagador,,"R$ 5048,24","R$ 0,00","R$ 0,00","R$ 0,00","R$ 5048,24",https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=168Q.6746.2717.5677399-X&numdoc=26669170000157,https://www.pagador.com.br/post/pagador/reenvia.asp/86959da4-47e1-4247-a9f2-55c13e7c1ccc,Pendente,                  1
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2026-02-26 00:00:00,2026-03-13 00:00:00,107799,Cartão Protegido,,"R$ 42,08","R$ 0,00","R$ 0,00","R$ 0,00","R$ 42,08",https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=148U.4654.2951.8472699-X&numdoc=28589883000136,https://www.pagador.com.br/post/pagador/reenvia.asp/4a92f72d-b17f-473d-8bda-03eebe21fc2c,Pendente,                 10
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2026-02-26 00:00:00,2026-03-13 00:00:00,107980,Pagador,,"R$ 104,66","R$ 0,00","R$ 0,00","R$ 0,00","R$ 104,66",https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=190U.5991.5551.1364499-Z&numdoc=28589883000136,https://www.pagador.com.br/post/pagador/reenvia.asp/5ade7e1e-81de-4eab-b643-cc7142891066,Pendente,                 56
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2026-02-26 00:00:00,2026-03-13 00:00:00,108020,Pagador,,"R$ 100,24","R$ 0,00","R$ 0,00","R$ 0,00","R$ 100,24",https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=601W.0109.1677.8175199-Q&numdoc=28581358000174,https://www.pagador.com.br/post/pagador/reenvia.asp/8108fda1-4df7-4273-bef9-2cb81792581f,Pendente,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2026-01-29 00:00:00,2026-02-13 00:00:00,105690,Velocity Check,,"R$ 4102,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=145Y.1292.6391.3292099-U&numdoc=26669170000157,"",Compensando,             47.875
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2026-01-29 00:00:00,2026-02-13 00:00:00,105725,Pagador,,"R$ 5048,24",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=182H.0333.7629.7566799-R&numdoc=26669170000157,"",Compensando,                  1
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2026-01-29 00:00:00,2026-02-13 00:00:00,105664,Cartão Protegido,,"R$ 42,08",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=188W.2826.4876.2741199-X&numdoc=28589883000136,"",Compensando,                  4
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2026-01-29 00:00:00,2026-02-13 00:00:00,105756,Pagador,,"R$ 104,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=678S.6851.4133.8339999-D&numdoc=28589883000136,"",Compensando,                 20
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2026-01-29 00:00:00,2026-02-13 00:00:00,105779,Pagador,,"R$ 100,24",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=255Q.8192.1411.7119699-U&numdoc=28581358000174,"",Compensando,                  1
