cliente,Razão Social,CNPJ,Data emissão,Vencimento líquido,Produto,Nº Nota Fiscal,Status Boleto,Valor Original (por produto),Montante de imposto,Juros,Multa,Valor Total (nota),Link  NFS-e,Link  Boleto,Qtde Transação
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2026-02-26 00:00:00,2026-03-13 00:00:00,Pagador,107918,Compensando,5048.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=168Q.6746.2717.5677399-X&numdoc=26669170000157,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2026-02-26 00:00:00,2026-03-13 00:00:00,Velocity Check,107856,Compensando,4102.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=551R.6153.2624.9472799-Q&numdoc=26669170000157,"",29753
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2026-02-26 00:00:00,2026-03-13 00:00:00,Cartão Protegido,107799,Compensando,42.08,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=148U.4654.2951.8472699-X&numdoc=28589883000136,"",10
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2026-02-26 00:00:00,2026-03-13 00:00:00,Pagador,107980,Compensando,104.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=190U.5991.5551.1364499-Z&numdoc=28589883000136,"",56
5661,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2026-02-26 00:00:00,2026-03-13 00:00:00,Pagador,108020,Pendente,100.24,0,5.01,2,107.25,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=601W.0109.1677.8175199-Q&numdoc=28581358000174,https://www.pagador.com.br/post/pagador/reenvia.asp/8108fda1-4df7-4273-bef9-2cb81792581f,1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2026-01-29 00:00:00,2026-02-13 00:00:00,Pagador,105725,Compensando,5048.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=182H.0333.7629.7566799-R&numdoc=26669170000157,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2026-01-29 00:00:00,2026-02-13 00:00:00,Velocity Check,105690,Compensando,4102.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=145Y.1292.6391.3292099-U&numdoc=26669170000157,"",47875
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2026-01-29 00:00:00,2026-02-13 00:00:00,Cartão Protegido,105664,Compensando,42.08,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=188W.2826.4876.2741199-X&numdoc=28589883000136,"",4
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2026-01-29 00:00:00,2026-02-13 00:00:00,Pagador,105756,Compensando,104.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=678S.6851.4133.8339999-D&numdoc=28589883000136,"",20
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2026-01-29 00:00:00,2026-02-13 00:00:00,Pagador,105779,Compensando,100.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=255Q.8192.1411.7119699-U&numdoc=28581358000174,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-12-29 00:00:00,2026-01-13 00:00:00,Pagador,103656,Compensando,5048.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=109S.1188.8981.9526699-Y&numdoc=26669170000157,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-12-29 00:00:00,2026-01-13 00:00:00,Velocity Check,103597,Compensando,5545.53,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=913V.6758.5260.6435799-X&numdoc=26669170000157,"",67679
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-12-29 00:00:00,2026-01-13 00:00:00,Cartão Protegido,103547,Compensando,42.08,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=117S.0345.8135.4734399-W&numdoc=28589883000136,"",6
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-12-29 00:00:00,2026-01-13 00:00:00,Pagador,103716,Compensando,104.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=202Y.1140.8091.7270099-R&numdoc=28589883000136,"",68
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-12-29 00:00:00,2026-01-13 00:00:00,Pagador,103757,Compensando,100.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=212U.8808.2752.1341799-R&numdoc=28581358000174,"",1
6299,1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-12-29 00:00:00,2026-01-13 00:00:00,3DS 2.0,103517,Pendente,132.65,0,9.08,2.65,144.38,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=167S.1918.3434.4931099-W&numdoc=24184468000141,https://www.pagador.com.br/post/pagador/reenvia.asp/c289a14e-fdd7-405f-b46b-6486278991bf,1
6299,1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-12-29 00:00:00,2026-01-13 00:00:00,Pagador,103825,Pendente,1387.76,0,104.42,27.76,1519.94,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=108A.1553.1751.4153799-X&numdoc=24184468000141,https://www.pagador.com.br/post/pagador/reenvia.asp/c22566fd-c607-4add-ab09-cbc9ef1b4f61,1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-11-26 00:00:00,2025-12-11 00:00:00,Pagador,101641,Compensando,5048.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=198Y.5995.2491.7352699-X&numdoc=26669170000157,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-11-26 00:00:00,2025-12-11 00:00:00,Velocity Check,101587,Compensando,4102.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=549Y.5204.9994.5745499-Y&numdoc=26669170000157,"",18990
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-11-26 00:00:00,2025-12-11 00:00:00,Cartão Protegido,101542,Compensando,42.08,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=638X.7958.3234.6562699-D&numdoc=28589883000136,"",6
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-11-26 00:00:00,2025-12-11 00:00:00,Pagador,101693,Compensando,104.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=177W.1040.8977.9401999-W&numdoc=28589883000136,"",82
